Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,DOB Year,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
David Moss,R,1981-12-28,1,501,78,100,178,157,0:18,13:36,2.3,--,75,--,--,--,--,74,1,0,0,0,R,R,1981-12-28,1981,Livonia,MI,USA,USA,76,210,2001,7,220,20062007,2006,N,501,78,100,178
Brett Lebda,D,1982-01-15,1,397,20,56,76,229,0:34,14:42,3.9,--,107,--,--,--,--,105,1,0,0,1,L,D,1982-01-15,1982,Buffalo Grove,IL,USA,USA,69,195,--,--,--,20052006,2005,N,397,20,56,76
Christoph Schubert,D,1982-02-05,1,315,25,47,72,263,0:50,12:52,6.5,--,123,--,--,--,--,119,3,0,0,1,L,D,1982-02-05,1982,Munich,--,DEU,DEU,75,230,2001,4,127,20052006,2005,N,315,25,47,72
Louis Robitaille,L,1982-03-16,1,2,0,0,0,5,2:30,4:42,53.2,--,1,--,--,--,--,0,1,0,0,0,L,L,1982-03-16,1982,Montreal,QC,CAN,CAN,73,188,--,--,--,20052006,2005,N,2,0,0,0
Matthew Lombardi,C,1982-03-18,1,536,101,161,262,293,0:32,15:56,3.4,--,144,--,--,--,--,143,1,0,0,0,L,C,1982-03-18,1982,Montreal,QC,CAN,CAN,71,195,2002,3,90,20032004,2003,N,536,101,161,262
Brad Boyes,R,1982-04-17,1,822,211,294,505,251,0:18,16:22,1.9,--,116,--,--,--,--,114,1,0,1,0,R,R,1982-04-17,1982,Mississauga,ON,CAN,CAN,72,199,2000,1,24,20032004,2003,N,822,211,294,505
Tomas Malec,D,1982-05-13,1,46,0,2,2,47,1:01,10:55,9.4,--,18,--,--,--,--,16,1,0,0,1,L,D,1982-05-13,1982,Skalica,--,SVK,SVK,74,215,2001,3,64,20022003,2002,N,46,0,2,2
Antoine Vermette,C,1982-07-20,1,"1,046",228,287,515,624,0:35,16:50,3.5,--,289,--,--,--,--,282,2,0,2,2,L,C,1982-07-20,1982,St. Agapit,QC,CAN,CAN,73,197,2000,2,55,20032004,2003,N,"1,046",228,287,515
Richard Petiot,D,1982-08-20,1,15,0,3,3,25,1:40,17:29,9.5,--,11,--,--,--,--,10,1,0,0,0,L,D,1982-08-20,1982,Daysland,AB,CAN,CAN,75,215,2001,4,116,20052006,2005,N,15,0,3,3
Staffan Kronwall,D,1982-09-10,1,66,1,3,4,23,0:20,11:57,2.9,--,10,--,--,--,--,9,1,0,0,0,L,D,1982-09-10,1982,Järfälla,--,SWE,SWE,75,209,2002,9,285,20052006,2005,N,66,1,3,4
Andy Greene,D,1982-10-30,1,"1,041",52,211,263,273,0:15,21:06,1.2,--,133,--,--,--,--,132,1,0,0,0,L,D,1982-10-30,1982,Trenton,MI,USA,USA,71,190,--,--,--,20062007,2006,N,"1,041",52,211,263
Tomas Plekanec,C,1982-10-31,1,"1,001",233,375,608,543,0:32,18:00,3,--,256,--,--,--,--,253,1,0,2,0,L,C,1982-10-31,1982,Kladno,--,CZE,CZE,71,190,2001,3,71,20032004,2003,N,"1,001",233,375,608
Jason Pominville,R,1982-11-30,1,"1,060",293,434,727,199,0:11,17:22,1.1,--,97,--,--,--,--,96,1,0,0,0,R,R,1982-11-30,1982,Repentigny,QC,CAN,CAN,71,180,2001,2,55,20032004,2003,N,"1,060",293,434,727
Lukas Krajicek,D,1983-03-11,1,328,11,61,72,245,0:44,18:09,4.1,--,121,--,--,--,--,120,1,0,0,0,L,D,1983-03-11,1983,Prostejov,--,CZE,CZE,75,205,2001,1,24,20012002,2001,N,328,11,61,72
PA Parenteau,R,1983-03-24,1,491,114,182,296,342,0:41,16:48,4.1,--,148,--,--,--,--,141,2,0,2,3,R,R,1983-03-24,1983,Hull,QC,CAN,CAN,72,200,2001,9,264,20062007,2006,N,491,114,182,296
Jussi Jokinen,L,1983-04-01,1,951,191,372,563,377,0:23,15:46,2.5,--,180,--,--,--,--,178,1,0,1,0,L,L,1983-04-01,1983,Kalajoki,--,FIN,FIN,72,191,2001,6,192,20052006,2005,N,951,191,372,563
Brendan Bell,D,1983-03-31,1,102,7,21,28,51,0:30,15:47,3.2,--,23,--,--,--,--,22,1,0,0,0,L,D,1983-03-31,1983,Ottawa,ON,CAN,CAN,74,205,2001,3,65,20052006,2005,N,102,7,21,28
Derek Roy,C,1983-05-04,1,738,189,335,524,391,0:31,18:10,2.9,--,189,--,--,--,--,187,1,0,1,0,L,C,1983-05-04,1983,Ottawa,ON,CAN,CAN,69,184,2001,2,32,20032004,2003,N,738,189,335,524
Danny Bois,R,1983-06-01,1,1,0,0,0,7,7:00,3:53,180.3,--,2,--,--,--,--,1,1,0,0,0,R,R,1983-06-01,1983,Thunder Bay,ON,CAN,CAN,72,196,2001,3,97,20062007,2006,N,1,0,0,0
Patrick Dwyer,R,1983-06-22,1,416,42,51,93,77,0:11,13:39,1.4,--,37,--,--,--,--,36,1,0,0,0,R,R,1983-06-22,1983,Spokane,WA,USA,USA,71,175,2002,4,116,20082009,2008,N,416,42,51,93
Drew Fata,D,1983-07-28,1,8,1,1,2,9,1:07,14:48,7.6,--,3,--,--,--,--,2,1,0,0,0,L,D,1983-07-28,1983,Sault Ste. Marie,ON,CAN,CAN,73,209,2001,3,86,20062007,2006,N,8,1,1,2
Matt Jones,D,1983-08-08,1,106,1,10,11,63,0:35,14:52,4,--,26,--,--,--,--,24,1,0,1,0,L,D,1983-08-08,1983,Downers Grove,IL,USA,USA,72,224,2002,3,80,20052006,2005,N,106,1,10,11
Marcel Goc,C,1983-08-24,1,636,75,113,188,157,0:14,14:02,1.8,--,73,--,--,--,--,71,1,0,1,0,L,C,1983-08-24,1983,Calw,--,DEU,DEU,73,197,2001,1,20,20052006,2005,N,636,75,113,188
Jay Bouwmeester,D,1983-09-27,1,"1,240",88,336,424,635,0:30,24:04,2.1,--,315,--,--,--,--,314,1,0,0,0,L,D,1983-09-27,1983,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20022003,2002,N,"1,240",88,336,424
Stephen Gionta,C,1983-10-09,1,301,16,40,56,95,0:18,12:18,2.6,66,41,25,1.07,0.66,0.4,39,1,0,0,1,R,C,1983-10-09,1983,Rochester,NY,USA,USA,67,177,--,--,--,20102011,2010,N,301,16,40,56
Boyd Gordon,C,1983-10-19,1,706,56,105,161,149,0:12,13:55,1.5,--,72,--,--,--,--,71,1,0,0,0,R,C,1983-10-19,1983,Unity,SK,CAN,CAN,72,200,2002,1,17,20032004,2003,N,706,56,105,161
Matt Ellison,R,1983-12-08,1,43,3,11,14,19,0:26,12:53,3.4,--,8,--,--,--,--,7,1,0,0,0,R,R,1983-12-08,1983,Duncan,BC,CAN,CAN,72,192,2002,4,128,20032004,2003,N,43,3,11,14
Jiri Hudler,R,1984-01-04,1,708,164,264,428,243,0:20,14:40,2.3,--,119,--,--,--,--,118,1,0,0,0,L,R,1984-01-04,1984,Olomouc,--,CZE,CZE,70,190,2002,2,58,20032004,2003,N,708,164,264,428
Mikhail Grabovski,C,1984-01-31,1,534,125,171,296,312,0:35,16:11,3.6,--,117,--,--,--,--,106,2,0,5,4,L,C,1984-01-31,1984,Potsdam,--,DEU,BLR,71,186,2004,5,150,20062007,2006,N,534,125,171,296
Alexander Semin,R,1984-03-03,1,650,239,278,517,584,0:53,17:41,5.1,--,276,--,--,--,--,270,2,0,1,2,R,R,1984-03-03,1984,Krasnojarsk,--,RUS,RUS,74,211,2002,1,13,20032004,2003,N,650,239,278,517
Hugh Jessiman,R,1984-03-28,1,2,0,0,0,5,2:30,7:21,34,1,1,0,4.08,4.08,0,0,1,0,0,0,R,R,1984-03-28,1984,New York City,NY,USA,USA,78,221,2003,1,12,20102011,2010,N,2,0,0,0
Daniel Paille,L,1984-04-15,1,582,85,87,172,135,0:13,12:07,1.9,--,59,--,--,--,--,55,3,0,0,1,L,L,1984-04-15,1984,Welland,ON,CAN,CAN,73,200,2002,1,20,20052006,2005,N,582,85,87,172
Derek Meech,D,1984-04-21,1,144,4,13,17,45,0:18,11:33,2.7,--,21,--,--,--,--,20,1,0,0,0,L,D,1984-04-21,1984,Winnipeg,MB,CAN,CAN,71,200,2002,7,229,20062007,2006,N,144,4,13,17
Pierre-Marc Bouchard,C,1984-04-27,1,593,110,246,356,190,0:19,15:25,2.1,--,87,--,--,--,--,84,2,0,1,0,L,C,1984-04-27,1984,Sherbrooke,QC,CAN,CAN,70,168,2002,1,8,20022003,2002,N,593,110,246,356
Matt Gilroy,D,1984-07-20,1,225,11,37,48,67,0:17,15:39,1.9,22,28,-6,0.37,0.48,-0.1,26,1,0,1,0,R,D,1984-07-20,1984,North Bellmore,NY,USA,USA,73,199,--,--,--,20092010,2009,N,225,11,37,48
Zach Parise,L,1984-07-28,1,"1,124",403,433,836,404,0:21,18:05,2,--,193,--,--,--,--,190,2,0,0,1,L,L,1984-07-28,1984,Minneapolis,MN,USA,USA,71,193,2003,1,17,20052006,2005,N,"1,124",403,433,836
Dusan Pasek,C,1960-09-07,1,48,4,10,14,30,0:37,--,--,--,8,--,--,--,--,5,2,0,0,1,L,C,1960-09-07,1960,Bratislava,--,SVK,SVK,72,200,1982,4,81,19881989,1988,N,48,4,10,14
Matt Carle,D,1984-09-25,1,730,45,238,283,251,0:20,20:43,1.7,--,123,--,--,--,--,122,1,0,0,0,L,D,1984-09-25,1984,Anchorage,AK,USA,USA,72,197,2003,2,47,20052006,2005,N,730,45,238,283
Sami Lepisto,D,1984-10-17,1,176,6,29,35,137,0:46,16:41,4.7,--,63,--,--,--,--,61,1,0,1,0,L,D,1984-10-17,1984,Espoo,--,FIN,FIN,73,193,2004,3,66,20072008,2007,N,176,6,29,35
Nikolay Zherdev,R,1984-11-05,1,421,115,146,261,225,0:32,16:44,3.2,--,111,--,--,--,--,110,1,0,0,0,R,R,1984-11-05,1984,Kiev,--,UKR,RUS,74,203,2003,1,4,20032004,2003,N,421,115,146,261
Kamil Kreps,C,1984-11-18,1,232,18,42,60,71,0:18,13:04,2.3,--,33,--,--,--,--,32,1,0,0,0,R,C,1984-11-18,1984,Litomerice,--,CZE,CZE,74,194,2003,2,38,20062007,2006,N,232,18,42,60
Karlis Skrastins,D,1974-07-09,1,832,32,104,136,375,0:27,20:13,2.2,--,186,--,--,--,--,185,1,0,0,0,L,D,1974-07-09,1974,Riga,--,LVA,LVA,74,208,1998,9,230,19981999,1998,N,832,32,104,136
Nigel Dawes,L,1985-02-09,1,212,39,45,84,43,0:12,13:07,1.6,--,20,--,--,--,--,19,1,0,0,0,L,L,1985-02-09,1985,Winnipeg,MB,CAN,CAN,69,200,2003,5,149,20062007,2006,N,212,39,45,84
Stefan Ruzicka,R,1985-02-17,1,55,4,13,17,47,0:51,11:32,7.4,--,18,--,--,--,--,16,1,0,0,1,R,R,1985-02-17,1985,Nitra,--,SVK,SVK,72,200,2003,3,81,20052006,2005,N,55,4,13,17
Philippe Dupuis,C,1985-04-24,1,116,6,12,18,62,0:32,9:28,5.6,--,23,--,--,--,--,20,2,0,0,1,R,C,1985-04-24,1985,Laval,QC,CAN,CAN,72,196,2003,4,104,20082009,2008,N,116,6,12,18
Adam Cracknell,R,1985-07-15,1,210,21,22,43,46,0:13,10:12,2.2,37,22,15,1.04,0.62,0.42,22,0,0,0,0,R,R,1985-07-15,1985,Prince Albert,SK,CAN,CAN,75,209,2004,9,279,20102011,2010,N,210,21,22,43
Casey Borer,D,1985-07-28,1,16,1,2,3,9,0:33,13:55,4,--,3,--,--,--,--,2,1,0,0,0,L,D,1985-07-28,1985,Minneapolis,MN,USA,USA,74,205,2004,3,69,20072008,2007,N,16,1,2,3
Alex Goligoski,D,1985-07-30,1,982,85,372,457,340,0:20,22:25,1.5,--,168,--,--,--,--,168,0,0,0,0,L,D,1985-07-30,1985,Grand Rapids,MN,USA,USA,71,173,2004,2,61,20072008,2007,N,982,85,372,457
Eric Fehr,C,1985-09-07,1,652,113,108,221,217,0:19,12:17,2.7,--,107,--,--,--,--,106,1,0,0,0,R,C,1985-09-07,1985,Winkler,MB,CAN,CAN,76,209,2003,1,18,20052006,2005,N,652,113,108,221
Michael Kostka,D,1985-11-28,1,85,4,17,21,39,0:27,18:03,2.5,10,18,-8,0.39,0.7,-0.31,17,1,0,0,0,R,D,1985-11-28,1985,Etobicoke,ON,CAN,CAN,73,210,--,--,--,20122013,2012,N,85,4,17,21
Jack Hillen,D,1986-01-24,1,304,13,58,71,157,0:30,17:01,3,--,73,--,--,--,--,71,1,0,1,0,L,D,1986-01-24,1986,Minnetonka,MN,USA,USA,70,190,--,--,--,20072008,2007,N,304,13,58,71
Liam Reddox,L,1986-01-27,1,100,6,18,24,34,0:20,12:36,2.7,--,13,--,--,--,--,12,0,0,1,0,L,L,1986-01-27,1986,Whitby,ON,CAN,CAN,71,178,2004,4,112,20072008,2007,N,100,6,18,24
Wojtek Wolski,L,1986-02-24,1,451,99,168,267,113,0:15,16:08,1.6,--,54,--,--,--,--,53,1,0,0,0,L,L,1986-02-24,1986,Zabrze,--,POL,POL,75,215,2004,1,21,20052006,2005,N,451,99,168,267
Jeff Schultz,D,1986-02-25,1,409,11,65,76,137,0:20,18:20,1.8,--,66,--,--,--,--,65,1,0,0,0,L,D,1986-02-25,1986,Calgary,AB,CAN,CAN,78,225,2004,1,27,20062007,2006,N,409,11,65,76
Brett Festerling,D,1986-03-03,1,88,0,8,8,35,0:23,14:27,2.8,--,16,--,--,--,--,15,1,0,0,0,L,D,1986-03-03,1986,Prince George,BC,CAN,CAN,73,210,--,--,--,20082009,2008,N,88,0,8,8
Christian Hanson,C,1986-03-10,1,42,3,6,9,22,0:31,13:01,4,--,11,--,--,--,--,11,0,0,0,0,R,C,1986-03-10,1986,Glens Falls,NY,USA,USA,76,228,--,--,--,20082009,2008,N,42,3,6,9
Kevin Porter,C,1986-03-12,1,249,29,29,58,60,0:14,12:38,1.9,--,23,--,--,--,--,20,2,0,0,1,L,C,1986-03-12,1986,Detroit,MI,USA,USA,72,190,2004,4,119,20082009,2008,N,249,29,29,58
Tyler Bozak,C,1986-03-19,1,811,170,290,460,236,0:17,17:27,1.7,137,109,28,0.58,0.46,0.12,107,0,0,1,1,R,C,1986-03-19,1986,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,2009,N,811,170,290,460
Alexander Edler,D,1986-04-21,1,955,100,320,420,687,0:43,22:45,3.2,--,329,--,--,--,--,324,3,0,1,1,L,D,1986-04-21,1986,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,2006,N,955,100,320,420
Dave Bolland,C,1986-06-05,1,433,85,123,208,299,0:41,16:11,4.3,--,143,--,--,--,--,141,1,0,1,0,R,C,1986-06-05,1986,Mimico,ON,CAN,CAN,72,184,2004,2,32,20062007,2006,N,433,85,123,208
Andrej Sekera,D,1986-06-08,1,838,50,202,252,210,0:15,19:57,1.3,--,101,--,--,--,--,100,0,0,1,0,L,D,1986-06-08,1986,Bojnice,--,SVK,SVK,72,200,2004,3,71,20062007,2006,N,838,50,202,252
Matt Read,R,1986-06-14,1,449,88,100,188,83,0:11,16:21,1.1,68,40,28,0.56,0.33,0.23,39,1,0,0,0,R,R,1986-06-14,1986,Ilderton,ON,CAN,CAN,70,188,--,--,--,20112012,2011,N,449,88,100,188
Nikita Nikitin,D,1986-06-16,1,259,17,59,76,85,0:19,19:20,1.7,41,41,0,0.49,0.49,0,40,1,0,0,0,L,D,1986-06-16,1986,Omsk,--,RUS,RUS,76,217,2004,5,136,20102011,2010,N,259,17,59,76
Alexander Radulov,R,1986-07-05,1,511,144,223,367,338,0:39,17:03,3.9,--,167,--,--,--,--,167,0,0,0,0,L,R,1986-07-05,1986,Nizhny Tagil,--,RUS,RUS,73,200,2004,1,15,20062007,2006,N,511,144,223,367
Travis Turnbull,C,1986-07-07,1,3,1,0,1,5,1:40,4:55,33.9,2,1,1,8.13,4.06,4.06,0,1,0,0,0,R,C,1986-07-07,1986,St. Louis,MO,USA,USA,72,193,--,--,--,20112012,2011,N,3,1,0,1
Dustin Boyd,C,1986-07-16,1,220,32,31,63,41,0:11,11:40,1.6,--,19,--,--,--,--,18,1,0,0,0,L,C,1986-07-16,1986,Winnipeg,MB,CAN,CAN,72,187,2004,3,98,20062007,2006,N,220,32,31,63
Anton Stralman,D,1986-08-01,1,913,60,224,284,281,0:18,19:57,1.5,--,139,--,--,--,--,138,1,0,0,0,R,D,1986-08-01,1986,Tibro,--,SWE,SWE,71,193,2005,7,216,20072008,2007,N,914,60,224,284
Darren Helm,C,1987-01-21,1,797,117,144,261,246,0:18,14:18,2.2,--,114,--,--,--,--,111,2,0,0,1,L,C,1987-01-21,1987,St. Andrews,MB,CAN,CAN,72,192,2005,5,132,20072008,2007,N,797,117,144,261
David McIntyre,C,1987-02-04,1,7,1,1,2,2,0:17,10:54,2.6,0,1,-1,0,0.79,-0.79,1,0,0,0,0,L,C,1987-02-04,1987,Oakville,ON,CAN,CAN,72,190,2006,5,138,20112012,2011,N,7,1,1,2
Scott Jackson,D,1987-02-05,1,1,0,0,0,0,0:00,13:44,0,0,0,0,0,0,0,0,0,0,0,0,L,D,1987-02-05,1987,Salmon Arm,BC,CAN,CAN,75,219,2005,2,37,20092010,2009,N,1,0,0,0
Jakub Kindl,D,1987-02-10,1,331,16,58,74,181,0:32,15:36,3.5,36,88,-52,0.42,1.02,-0.6,87,1,0,0,0,L,D,1987-02-10,1987,Sumperk,--,CZE,CZE,75,199,2005,1,19,20092010,2009,N,331,16,58,74
Tom Pyatt,L,1987-02-14,1,445,43,58,101,71,0:09,13:20,1.2,75,34,41,0.76,0.34,0.41,33,1,0,0,0,L,L,1987-02-14,1987,Thunder Bay,ON,CAN,CAN,71,185,2005,4,107,20092010,2009,N,445,43,58,101
Sergei Kostitsyn,L,1987-03-20,1,353,67,109,176,188,0:31,15:14,3.5,--,79,--,--,--,--,74,2,0,3,0,L,L,1987-03-20,1987,Novopolotsk,--,BLR,BLR,72,196,2005,7,200,20072008,2007,N,353,67,109,176
Benn Ferriero,R,1987-04-29,1,98,14,9,23,25,0:15,11:55,2.1,14,11,3,0.72,0.57,0.15,10,1,0,0,0,R,R,1987-04-29,1987,Boston,MA,USA,USA,71,195,2006,7,196,20092010,2009,N,98,14,9,23
Mark Fayne,D,1987-05-15,1,389,17,48,65,131,0:20,18:09,1.9,19,64,-45,0.16,0.54,-0.38,63,1,0,0,0,R,D,1987-05-15,1987,Nashua,NH,USA,USA,75,209,2005,5,155,20102011,2010,N,389,17,48,65
Niklas Hjalmarsson,D,1987-06-06,1,821,25,147,172,332,0:24,20:10,2,--,159,--,--,--,--,156,2,0,0,1,L,D,1987-06-06,1987,Eksjo,--,SWE,SWE,75,197,2005,4,108,20072008,2007,N,821,25,147,172
Petr Kalus,R,1987-06-29,1,11,4,1,5,6,0:32,10:37,5.1,--,3,--,--,--,--,3,0,0,0,0,L,R,1987-06-29,1987,Ostrava,--,CZE,CZE,73,201,2005,2,39,20062007,2006,N,11,4,1,5
Nathan Gerbe,C,1987-07-24,1,435,63,88,151,196,0:27,14:31,3.1,--,94,--,--,--,--,93,0,0,1,0,L,C,1987-07-24,1987,Oxford,MI,USA,USA,64,176,2005,5,142,20082009,2008,N,435,63,88,151
Anze Kopitar,C,1987-08-24,1,"1,196",363,694,"1,057",316,0:15,21:01,1.3,--,153,--,--,--,--,152,0,0,1,0,L,C,1987-08-24,1987,Jesenice,--,SVN,SVN,75,225,2005,1,11,20062007,2006,N,"1,197",363,694,"1,057"
Mats Zuccarello,R,1987-09-01,1,674,159,335,494,259,0:23,17:35,2.2,189,123,66,0.96,0.62,0.33,121,1,0,1,0,L,R,1987-09-01,1987,Oslo,--,NOR,NOR,68,181,--,--,--,20102011,2010,N,674,159,335,494
Bryan Little,C,1987-11-12,1,843,217,304,521,293,0:20,17:59,1.9,--,131,--,--,--,--,127,1,0,2,1,R,C,1987-11-12,1987,Edmonton,AB,CAN,CAN,72,191,2006,1,12,20072008,2007,N,843,217,304,521
Marek Svatos,R,1982-06-17,1,344,100,72,172,217,0:37,12:47,4.9,--,105,--,--,--,--,104,1,0,0,0,R,R,1982-06-17,1982,Kosice,--,SVK,SVK,70,185,2001,7,227,20032004,2003,N,344,100,72,172
Jeff Petry,D,1987-12-09,1,792,85,226,311,319,0:24,22:14,1.8,109,158,-49,0.37,0.54,-0.17,157,1,0,0,0,R,D,1987-12-09,1987,Ann Arbor,MI,USA,USA,75,209,2006,2,45,20102011,2010,N,792,85,226,311
Mark Olver,C,1988-01-01,1,74,10,12,22,39,0:31,11:00,4.8,14,14,0,1.03,1.03,0,12,1,0,1,0,L,C,1988-01-01,1988,Burnaby,BC,CAN,CAN,70,170,2008,5,140,20102011,2010,N,74,10,12,22
Brian Strait,D,1988-01-04,1,187,6,23,29,91,0:29,16:55,2.9,26,43,-17,0.49,0.82,-0.32,42,1,0,0,0,L,D,1988-01-04,1988,Waltham,MA,USA,USA,73,206,2006,3,65,20102011,2010,N,187,6,23,29
Ben Maxwell,C,1988-03-30,1,47,2,6,8,19,0:24,9:07,4.4,--,8,--,--,--,--,7,1,0,0,0,L,C,1988-03-30,1988,North Vancouver,BC,CAN,CAN,73,195,2006,2,49,20082009,2008,N,47,2,6,8
Andy Miele,C,1988-04-15,1,15,0,2,2,11,0:44,9:08,8,3,4,-1,1.31,1.75,-0.44,3,1,0,0,0,L,C,1988-04-15,1988,Grosse Pointe Woods,MI,USA,USA,67,169,--,--,--,20112012,2011,N,15,0,2,2
Kaspars Daugavins,L,1988-05-18,1,91,6,9,15,21,0:13,11:12,2.1,14,9,5,0.82,0.53,0.29,8,1,0,0,0,L,L,1988-05-18,1988,Riga,--,LVA,LVA,72,213,2006,3,91,20092010,2009,N,91,6,9,15
Matt Halischuk,R,1988-06-01,1,280,33,42,75,57,0:12,10:48,1.9,--,23,--,--,--,--,21,1,0,1,0,R,R,1988-06-01,1988,Toronto,ON,CAN,CAN,72,180,2007,4,117,20082009,2008,N,280,33,42,75
Brian Flynn,C,1988-07-26,1,275,27,34,61,32,0:06,13:34,0.9,33,16,17,0.53,0.26,0.27,16,0,0,0,0,R,C,1988-07-26,1988,Lynnfield,MA,USA,USA,73,185,--,--,--,20122013,2012,N,275,27,34,61
Justin DiBenedetto,C,1988-08-25,1,8,0,1,1,2,0:15,9:03,2.8,5,1,4,4.14,0.83,3.31,1,0,0,0,0,L,C,1988-08-25,1988,Maple,ON,CAN,CAN,72,198,2008,6,175,20102011,2010,N,8,0,1,1
Carson McMillan,R,1988-09-10,1,16,2,3,5,11,0:41,10:26,6.6,1,3,-2,0.36,1.08,-0.72,2,1,0,0,0,R,R,1988-09-10,1988,Brandon,MB,CAN,CAN,73,196,2007,7,200,20102011,2010,N,16,2,3,5
Spencer Machacek,R,1988-10-14,1,25,2,7,9,7,0:16,7:37,3.7,--,2,--,--,--,--,1,1,0,0,0,R,R,1988-10-14,1988,Lethbridge,AB,CAN,CAN,73,200,2007,3,67,20082009,2008,N,25,2,7,9
Erik Gustafsson,D,1988-12-15,1,299,31,116,147,83,0:16,18:58,1.5,24,40,-16,0.25,0.42,-0.17,39,1,0,0,0,L,D,1988-12-15,1988,Kvissleby,--,SWE,SWE,70,180,--,--,--,20102011,2010,N,91,6,17,23
Erik Gustafsson,D,1988-12-15,1,91,6,17,23,14,0:09,17:50,0.9,9,7,2,0.33,0.26,0.07,7,0,0,0,0,L,D,1988-12-15,1988,Kvissleby,--,SWE,SWE,70,180,--,--,--,20102011,2010,N,91,6,17,23
Alex Grant,D,1989-01-20,1,7,2,0,2,9,1:17,12:55,9.9,2,3,-1,1.33,1.99,-0.66,2,1,0,0,0,R,D,1989-01-20,1989,Antigonish,NS,CAN,CAN,75,210,2007,4,118,20132014,2013,N,7,2,0,2
Drayson Bowman,L,1989-03-08,1,179,15,18,33,53,0:17,11:12,2.6,28,23,5,0.84,0.69,0.15,22,1,0,0,0,L,L,1989-03-08,1989,Grand Rapids,MI,USA,USA,73,195,2007,3,72,20092010,2009,N,179,15,18,33
Mikael Backlund,C,1989-03-17,1,809,166,263,429,385,0:28,16:53,2.8,--,170,--,--,--,--,165,1,0,2,2,L,C,1989-03-17,1989,Vasteras,--,SWE,SWE,72,200,2007,1,24,20082009,2008,N,809,166,263,429
Riley Nash,C,1989-05-09,1,627,63,113,176,144,0:13,13:08,1.8,83,65,18,0.6,0.47,0.13,62,2,0,0,1,R,C,1989-05-09,1989,Consort,AB,CAN,CAN,74,188,2007,1,21,20112012,2011,N,627,63,113,176
Chris Breen,D,1989-06-29,1,9,0,2,2,5,0:33,9:23,5.9,1,1,0,0.71,0.71,0,0,1,0,0,0,L,D,1989-06-29,1989,Uxbridge,ON,CAN,CAN,79,226,--,--,--,20132014,2013,N,9,0,2,2
Bryan Fogarty,D,1969-06-11,1,156,22,52,74,119,0:45,--,--,--,47,--,--,--,--,42,3,0,0,2,L,D,1969-06-11,1969,Brantford,ON,CAN,CAN,73,205,1987,1,9,19891990,1989,N,156,22,52,74
Nick Petrecki,D,1989-07-11,1,1,0,0,0,0,0:00,11:58,0,0,0,0,0,0,0,0,0,0,0,0,L,D,1989-07-11,1989,Schenectady,NY,USA,USA,75,230,2007,1,28,20122013,2012,N,1,0,0,0
Kellan Lain,L,1989-08-11,1,9,1,0,1,21,2:20,5:13,44.7,4,5,-1,5.11,6.39,-1.28,3,1,0,0,1,L,L,1989-08-11,1989,Oakville,ON,CAN,CAN,78,210,--,--,--,20132014,2013,N,9,1,0,1
Craig Smith,C,1989-09-05,1,773,190,203,393,308,0:23,14:50,2.7,143,147,-4,0.75,0.77,-0.02,146,0,0,1,0,R,C,1989-09-05,1989,Madison,WI,USA,USA,72,203,2009,4,98,20112012,2011,N,773,190,203,393
Tyler Ennis,R,1989-10-06,1,698,144,201,345,224,0:19,15:10,2.1,150,101,49,0.85,0.57,0.28,97,2,0,1,1,L,R,1989-10-06,1989,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,2009,N,698,144,201,345
Drew Doughty,D,1989-12-08,1,"1,014",132,435,567,691,0:40,26:14,2.6,--,336,--,--,--,--,333,1,0,2,0,R,D,1989-12-08,1989,London,ON,CAN,CAN,73,210,2008,1,2,20082009,2008,N,"1,014",132,435,567
Cory Conacher,C,1989-12-14,1,193,28,47,75,118,0:36,12:32,4.9,87,55,32,2.16,1.36,0.79,54,0,0,1,0,L,C,1989-12-14,1989,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,2012,N,193,28,47,75
Christopher Tanev,D,1989-12-20,1,635,29,125,154,145,0:13,19:59,1.1,76,67,9,0.36,0.32,0.04,65,1,0,1,0,R,D,1989-12-20,1989,Toronto,ON,CAN,CAN,74,197,--,--,--,20102011,2010,N,635,29,125,154
Alex Pietrangelo,D,1990-01-18,1,865,128,383,511,297,0:20,24:39,1.4,--,133,--,--,--,--,129,1,0,3,0,R,D,1990-01-18,1990,King City,ON,CAN,CAN,75,213,2008,1,4,20082009,2008,N,865,128,383,511
Stefan Della Rovere,L,1990-02-25,1,7,0,0,0,11,1:34,6:05,25.8,1,4,-3,1.41,5.63,-4.22,3,1,0,0,0,L,L,1990-02-25,1990,Richmond Hill,ON,CAN,CAN,71,205,2008,7,204,20102011,2010,N,7,0,0,0
Danny DeKeyser,D,1990-03-07,1,531,33,108,141,252,0:28,20:50,2.3,61,123,-62,0.33,0.67,-0.34,121,2,0,0,0,L,D,1990-03-07,1990,Detroit,MI,USA,USA,75,183,--,--,--,20122013,2012,N,531,33,108,141
